,StateAbbr,StateDesc,CountyName,CountyFIPS,TotalPopulation,ACCESS2_AdjPrev,ARTHRITIS_AdjPrev,BINGE_AdjPrev,BPHIGH_AdjPrev,BPMED_AdjPrev,CANCER_AdjPrev,CASTHMA_AdjPrev,CERVICAL_AdjPrev,CHD_AdjPrev,CHECKUP_AdjPrev,CHOLSCREEN_AdjPrev,COLON_SCREEN_AdjPrev,COPD_AdjPrev,COREM_AdjPrev,COREW_AdjPrev,CSMOKING_AdjPrev,DENTAL_AdjPrev,DIABETES_AdjPrev,HIGHCHOL_AdjPrev,KIDNEY_AdjPrev,LPA_AdjPrev,MAMMOUSE_AdjPrev,MHLTH_AdjPrev,OBESITY_AdjPrev,PHLTH_AdjPrev,SLEEP_AdjPrev,STROKE_AdjPrev,TEETHLOST_AdjPrev,Geolocation
0,AL,Alabama,Autauga,1001,55601,14.3,29.3,14.1,36.6,61.8,6.5,10.2,86.4,6.9,77.0,85.5,69.5,7.7,28.1,26.5,19.8,64.0,11.3,31.8,2.8,26.4,77.5,15.8,35.5,13.3,38.4,3.4,16.3,POINT (-86.64301145 32.5350198)
1,AL,Alabama,Baldwin,1003,218022,13.6,27.3,17.3,33.1,59.8,6.7,9.6,87.3,6.0,75.7,85.1,67.5,7.1,29.0,28.7,18.5,66.3,9.5,32.3,2.6,23.5,74.0,14.8,29.4,11.6,36.4,3.0,13.4,POINT (-87.72275422 30.72811673)
2,AL,Alabama,Barbour,1005,24881,21.8,33.2,12.3,45.8,66.5,6.1,11.7,84.1,9.0,78.5,84.2,62.1,10.5,21.8,22.9,25.5,46.6,16.9,34.4,3.9,36.8,75.9,19.0,40.8,18.1,40.9,5.1,27.1,POINT (-85.39330307 31.86925212)
3,AL,Alabama,Bibb,1007,22400,17.3,30.6,15.0,40.8,62.0,6.4,10.3,84.8,7.6,76.3,84.2,65.7,9.1,24.7,24.8,23.1,57.6,12.6,33.2,3.0,31.2,73.3,17.1,38.4,15.1,40.1,3.8,20.7,POINT (-87.12653219 32.99854412)
4,AL,Alabama,Blount,1009,57840,17.0,30.1,15.1,37.3,58.9,6.6,10.2,84.1,7.5,74.2,83.2,63.9,9.0,25.4,24.8,23.0,57.1,11.3,33.6,2.9,30.1,71.5,17.1,33.7,14.8,38.8,3.5,19.3,POINT (-86.56784586 33.98070621)
5,AL,Alabama,Bullock,1011,10138,22.7,33.0,11.8,47.7,67.1,5.8,11.8,85.3,8.8,79.8,85.5,61.3,9.9,20.2,19.8,24.9,46.6,18.5,33.8,4.1,38.1,76.7,18.2,45.6,17.9,44.7,5.5,28.5,POINT (-85.71563262 32.10044482)
6,AL,Alabama,Butler,1013,19680,18.6,33.8,12.2,44.4,66.0,6.3,11.6,84.9,8.0,78.2,84.8,62.3,9.6,22.5,21.0,22.8,49.4,15.3,33.4,3.5,35.6,73.4,18.5,41.4,16.9,42.0,4.6,24.8,POINT (-86.68030416 31.75259734)
7,AL,Alabama,Calhoun,1015,114277,15.9,31.6,13.2,38.6,62.7,6.6,11.2,85.4,7.6,77.0,84.3,64.1,9.0,24.8,22.3,21.2,56.9,12.7,33.9,3.1,29.3,72.3,17.8,41.0,15.2,38.3,3.8,19.1,POINT (-85.82579874 33.77170768)
8,AL,Alabama,Chambers,1017,33615,17.8,31.4,13.2,42.5,65.1,6.3,11.2,85.2,7.8,78.4,84.8,62.5,9.1,24.3,22.2,23.2,54.2,14.4,33.2,3.3,32.7,74.8,17.6,39.1,15.8,40.5,4.3,22.4,POINT (-85.39238495 32.91401536)
9,AL,Alabama,Cherokee,1019,26032,16.3,32.2,15.4,36.4,60.5,6.6,10.5,83.8,7.9,74.7,82.7,62.3,9.7,26.0,24.2,23.6,55.8,12.0,33.2,3.0,30.9,71.0,18.1,38.7,15.6,37.9,3.7,20.9,POINT (-85.60387093 34.17572884)
