,StateAbbr,StateDesc,CountyName,CountyFIPS,TotalPopulation,ACCESS2_AdjPrev,ARTHRITIS_AdjPrev,BINGE_AdjPrev,BPHIGH_AdjPrev,BPMED_AdjPrev,CANCER_AdjPrev,CASTHMA_AdjPrev,CERVICAL_AdjPrev,CHD_AdjPrev,CHECKUP_AdjPrev,CHOLSCREEN_AdjPrev,COLON_SCREEN_AdjPrev,COPD_AdjPrev,COREM_AdjPrev,COREW_AdjPrev,CSMOKING_AdjPrev,DENTAL_AdjPrev,DEPRESSION_AdjPrev,DIABETES_AdjPrev,GHLTH_AdjPrev,HIGHCHOL_AdjPrev,KIDNEY_AdjPrev,LPA_AdjPrev,MAMMOUSE_AdjPrev,MHLTH_AdjPrev,OBESITY_AdjPrev,PHLTH_AdjPrev,SLEEP_AdjPrev,STROKE_AdjPrev,TEETHLOST_AdjPrev,Geolocation
0,LA,Louisiana,St. Charles,22089,52987,13.4,22.6,20.3,33.8,60.4,5.8,9.1,84.5,6.0,76.2,87.3,71.5,6.0,44.1,39.7,17.4,61.4,23.2,10.4,15.0,31.6,2.8,26.5,78.7,16.5,35.8,10.2,34.6,3.0,11.9,POINT (-90.3578553 29.9057222)
1,NH,New Hampshire,Strafford,33017,131533,11.2,21.6,19.0,28.0,55.4,6.1,10.5,83.6,5.3,71.2,84.9,72.0,5.6,48.8,38.5,16.3,66.8,25.3,8.1,11.5,28.4,2.4,20.0,71.1,16.2,29.9,9.6,31.3,2.4,10.1,POINT (-71.0355891 43.2932725)
2,NC,North Carolina,Halifax,37083,49479,24.2,27.4,13.6,41.4,62.7,5.5,11.1,83.6,7.5,81.4,85.5,70.7,8.5,39.8,34.6,25.2,50.4,22.8,14.8,21.6,30.9,3.9,29.9,74.2,16.6,43.2,13.7,39.0,4.8,20.8,POINT (-77.6448423 36.2514375)
3,NC,North Carolina,Martin,37117,22178,22.0,26.1,14.4,37.6,61.1,5.7,10.6,83.8,6.9,80.2,85.5,72.3,7.8,40.2,37.5,22.8,56.0,22.6,12.8,18.5,30.5,3.5,28.2,74.6,16.2,38.1,12.3,37.6,4.1,17.7,POINT (-77.1196022 35.8473006)
4,NC,North Carolina,Pasquotank,37139,40372,19.2,23.5,15.1,34.5,59.6,5.7,9.7,85.4,5.9,79.3,86.3,74.5,6.2,45.1,41.1,18.7,63.2,21.7,10.8,14.3,29.6,3.0,24.3,75.3,14.6,38.5,10.3,35.9,3.3,13.4,POINT (-76.2606906 36.265199)
5,SC,South Carolina,Berkeley,45015,235987,16.8,25.1,18.7,35.2,58.0,5.8,9.9,83.8,6.1,78.5,84.8,73.0,6.5,45.2,43.5,18.1,67.2,21.6,11.1,14.7,31.7,2.8,24.6,78.4,14.7,37.9,10.8,34.6,3.1,12.6,POINT (-79.9536554 33.2077)
6,VA,Virginia,Isle of Wight,51093,37725,13.0,24.9,17.0,34.0,59.8,6.0,9.9,84.7,5.5,76.4,86.8,72.5,6.0,43.6,40.3,17.3,66.6,20.1,10.3,13.9,29.4,2.7,21.7,76.4,14.3,35.6,9.2,36.6,2.9,10.4,POINT (-76.7075688 36.9014184)
7,WY,Wyoming,Washakie,56043,7760,18.3,19.3,17.8,26.6,52.8,6.0,10.0,80.6,5.5,63.8,81.9,57.3,6.1,41.2,26.3,17.9,64.0,18.1,8.0,11.9,25.4,2.6,22.7,63.6,13.5,30.1,9.1,31.2,2.7,13.2,POINT (-107.669052 43.8788305)
8,WY,Wyoming,Weston,56045,6743,17.4,20.4,17.8,29.1,53.3,6.1,9.8,80.1,5.8,62.8,81.6,57.4,6.8,38.0,29.3,20.5,62.9,18.2,7.8,12.7,25.7,2.6,25.3,57.1,13.9,32.2,9.5,34.6,2.8,14.7,POINT (-104.5700202 43.8462133)
9,OK,Oklahoma,Hughes,40063,13126,21.1,26.8,13.6,39.5,59.9,6.0,11.5,77.9,8.0,74.6,81.6,57.9,9.9,43.0,29.9,26.8,51.7,26.1,13.2,22.3,31.8,3.4,33.4,61.4,18.5,42.4,14.8,36.8,4.1,20.5,POINT (-96.2511829 35.0529339)
