,StateAbbr,StateDesc,CountyName,CountyFIPS,TotalPopulation,ACCESS2_AdjPrev,ARTHRITIS_AdjPrev,BINGE_AdjPrev,BPHIGH_AdjPrev,BPMED_AdjPrev,CANCER_AdjPrev,CASTHMA_AdjPrev,CERVICAL_AdjPrev,CHD_AdjPrev,CHECKUP_AdjPrev,CHOLSCREEN_AdjPrev,COLON_SCREEN_AdjPrev,COPD_AdjPrev,COREM_AdjPrev,COREW_AdjPrev,CSMOKING_AdjPrev,DENTAL_AdjPrev,DEPRESSION_AdjPrev,DIABETES_AdjPrev,GHLTH_AdjPrev,HIGHCHOL_AdjPrev,KIDNEY_AdjPrev,LPA_AdjPrev,MAMMOUSE_AdjPrev,MHLTH_AdjPrev,OBESITY_AdjPrev,PHLTH_AdjPrev,SLEEP_AdjPrev,STROKE_AdjPrev,TEETHLOST_AdjPrev,HEARING_AdjPrev,VISION_AdjPrev,COGNITION_AdjPrev,MOBILITY_AdjPrev,SELFCARE_AdjPrev,INDEPLIVE_AdjPrev,DISABILITY_AdjPrev,Geolocation
0,AL,Alabama,Autauga,1001,59095,10.4,28.2,15.5,37.2,65.3,6.3,10.2,84.3,5.7,76.0,85.1,71.5,6.8,44.0,41.3,16.9,62.9,22.7,10.7,17.3,32.1,2.9,29.1,74.8,18.0,38.9,11.7,37.5,3.0,12.7,6.0,4.7,14.3,14.7,3.7,8.2,30.2,POINT (-86.6464395 32.5322367)
1,AL,Alabama,Bullock,1011,10320,19.2,30.0,12.4,48.9,70.3,5.5,11.6,82.9,7.9,78.2,82.1,69.7,9.8,32.8,31.8,25.7,45.0,20.2,18.7,30.7,33.4,4.1,43.6,75.1,20.5,48.9,16.6,46.0,5.1,24.3,6.9,10.4,20.6,23.9,8.0,14.1,41.9,POINT (-85.7172613 32.1017589)
2,AL,Alabama,Chilton,1021,45274,14.1,29.0,15.8,37.5,64.4,6.3,10.4,81.6,6.5,72.7,83.0,70.2,8.3,44.8,36.1,21.7,55.0,24.3,11.5,20.6,33.8,3.0,34.1,69.3,19.7,42.3,13.6,40.8,3.3,16.8,7.0,5.7,17.2,17.3,4.4,9.9,35.4,POINT (-86.7266071 32.8540514)
3,AL,Alabama,Cleburne,1029,15103,12.5,28.7,15.9,35.7,63.4,6.4,10.5,82.4,6.5,73.7,82.8,70.5,8.5,41.9,37.7,20.7,59.0,26.0,11.0,19.8,33.4,3.0,32.2,71.1,19.9,36.1,13.6,36.9,3.2,15.6,7.1,5.3,17.1,16.6,4.2,9.7,34.5,POINT (-85.5161261 33.6719637)
4,AL,Alabama,DeKalb,1049,71813,16.7,30.2,15.0,36.7,64.4,6.3,10.8,80.0,7.1,71.8,81.7,68.3,9.5,39.7,36.8,22.2,52.9,25.8,12.5,23.1,34.5,3.2,35.0,69.8,20.7,41.0,15.1,37.0,3.5,18.6,7.8,6.7,18.9,19.0,5.2,11.1,37.5,POINT (-85.8040207 34.4609148)
5,AL,Alabama,Lamar,1075,13689,12.9,28.9,15.6,37.4,64.2,6.3,10.6,82.0,6.6,74.0,82.8,71.1,8.6,43.4,36.4,21.7,54.9,25.1,11.5,20.7,33.1,3.1,34.6,71.5,20.1,38.7,13.8,39.6,3.4,15.7,7.1,5.7,17.4,17.2,4.5,10.0,34.8,POINT (-88.0874309 33.7870852)
6,AL,Alabama,Lowndes,1085,9965,15.5,29.6,11.9,47.7,70.6,5.6,12.0,83.4,7.1,80.0,83.9,71.0,8.9,37.8,33.0,23.3,48.4,20.0,17.3,27.8,32.0,3.9,41.6,75.3,20.4,47.4,15.4,46.3,4.7,22.1,6.1,9.1,19.2,22.3,7.0,13.3,39.2,POINT (-86.6505859 32.147888)
7,AL,Alabama,Marion,1093,29246,13.1,29.4,15.9,37.0,64.2,6.5,10.6,81.8,6.8,73.7,82.5,68.8,9.0,42.7,34.5,22.0,54.9,25.8,11.4,21.0,34.1,3.1,33.3,68.4,20.3,39.2,14.1,37.2,3.3,16.4,7.4,5.7,17.7,17.4,4.6,10.2,35.8,POINT (-87.881551 34.1382194)
8,AL,Alabama,Pike,1109,32991,12.2,28.5,13.6,40.0,67.4,6.0,11.0,84.0,6.4,76.1,84.2,72.2,7.8,44.0,38.6,19.7,58.1,21.8,13.5,21.2,32.8,3.3,34.0,77.3,19.3,41.5,13.4,39.4,3.6,14.7,6.3,6.4,16.7,18.0,5.0,10.3,34.4,POINT (-85.9416076 31.7986533)
9,AK,Alaska,Haines,2100,2071,11.2,22.3,18.6,28.4,52.8,6.4,10.1,80.2,5.8,58.5,72.8,65.0,7.0,37.2,31.1,19.7,61.0,21.8,8.8,15.8,28.9,2.9,22.5,61.8,16.6,32.3,12.0,32.0,3.0,11.6,8.2,5.0,13.7,11.9,3.8,7.9,28.9,POINT (-135.5757906 59.0984037)
