StateDesc,ACCESS2_AdjPrev,ARTHRITIS_AdjPrev,BINGE_AdjPrev,BPHIGH_AdjPrev,BPMED_AdjPrev,CANCER_AdjPrev,CASTHMA_AdjPrev,CERVICAL_AdjPrev,CHD_AdjPrev,CHECKUP_AdjPrev,CHOLSCREEN_AdjPrev,COLON_SCREEN_AdjPrev,COPD_AdjPrev,COREM_AdjPrev,COREW_AdjPrev,CSMOKING_AdjPrev,DENTAL_AdjPrev,DEPRESSION_AdjPrev,DIABETES_AdjPrev,GHLTH_AdjPrev,HIGHCHOL_AdjPrev,KIDNEY_AdjPrev,LPA_AdjPrev,MAMMOUSE_AdjPrev,MHLTH_AdjPrev,OBESITY_AdjPrev,PHLTH_AdjPrev,SLEEP_AdjPrev,STROKE_AdjPrev,TEETHLOST_AdjPrev,HEARING_AdjPrev,VISION_AdjPrev,COGNITION_AdjPrev,MOBILITY_AdjPrev,SELFCARE_AdjPrev,INDEPLIVE_AdjPrev,DISABILITY_AdjPrev,workout,all,mcdonalds,burgerking,tacobell,dominos,kfc,mc_tb_do_kc,gdp_22
Alabama,11.605010777048728,27.9877311093108,15.171590814617108,37.71159341785525,65.58056012081248,6.20286137935509,10.459797094254483,84.31867061438206,6.015822390109918,75.8024122215681,84.79673585287895,72.64548938396712,7.227113677575861,43.905534579514544,39.16616808307028,18.120163785743184,60.386437089635315,22.864344427453286,11.973111625541655,19.157968101205643,32.59973086644773,3.054449920107177,31.62589081043049,75.00495420820786,18.48781686537191,39.717476398729566,12.4669809203677,38.96402874514595,3.2618928993703618,13.832242017017476,6.15024374602793,5.3873231826887835,15.247273633860509,16.041327080006116,4.190283909706526,9.025592985701834,32.11727655258253,19.3,81.7,5.0,3.5,2.8,2.5,1.8,15.6,277817500000.0
Alaska,11.277589320201507,21.81508572036911,18.469314005019978,28.930311475924455,51.505752498044835,6.117067777849056,9.611573239357803,78.2517717999708,5.318966305568788,62.20175426145088,75.49049193842272,65.62683011384343,6.0542027616685745,37.96961413891327,30.25109428080467,17.85884576065994,61.52822446029811,20.13134031143498,8.535062845225632,15.160480869364642,29.050541919792316,2.77895254772593,21.917748299718976,62.54626047363558,15.427814454743114,33.918264218826124,11.36269263368515,32.004721888209346,2.8874212643293795,12.129032324106388,7.668822244029737,4.690581473590537,12.593900007233787,11.278210333941606,3.3356932765367366,7.147502228142705,28.264935789909,27.9,61.9,4.2,1.1,2.1,1.4,0.8,9.6,63618000000.0
Arizona,13.561305831137627,21.739753262502617,17.37878238108405,27.96723839371462,54.44520321822197,6.147776141113168,10.221120619280416,80.35051372150411,5.360596639838072,67.34802443984016,82.19487307862934,65.5045203919126,5.766243370958601,43.683109969385605,35.364203794887416,15.08458546880042,59.37707264225469,19.614114079157638,9.684607567895622,15.910805028258808,30.247577936417276,3.083484128506788,22.88603169516002,68.24968724557866,16.764116978976723,32.15607297703948,11.148876065855303,33.1657989427617,2.829376266781157,11.586090804742401,6.406700890945363,4.945953955270771,13.959718558127491,12.276152465066115,3.5910257745815324,7.233850536452787,28.273990038365568,26.3,67.9,3.9,2.5,2.5,1.6,0.8,11.3,458949800000.0
Arkansas,10.920480149483245,26.20982431290486,14.524274767332995,36.69094508030858,61.507253070252695,6.249969612256357,9.872488037407825,81.23864286585338,6.4245192573030545,75.64301318190245,82.05942646314756,68.9216319755074,7.605620724606404,42.971030251915884,37.92556232197392,20.609077855084667,56.61240371844194,25.30302324174929,10.906294873146456,20.834868176018237,32.41835201598471,3.0130198014403025,29.900483295663985,70.45632324495496,18.607471683547093,38.24351078740113,13.270516452839841,34.75306641911424,3.2038169253287716,15.721359791215216,6.697481270805854,5.60946521206481,16.830289689879773,15.525764708642845,4.209059447283461,9.05118571686819,32.925306661740294,15.7,69.9,5.7,2.7,3.5,2.2,2.0,16.1,165220600000.0
California,11.306139367624658,18.789891664769687,15.713589939057801,26.95286789006407,53.577848238113845,5.410313101874425,9.238837075520678,81.2456875628921,4.770769843168722,62.06491422717604,84.68477575317864,59.583593478498656,4.883747113372919,36.8914882436432,29.8849528118727,11.2764924752731,62.16046554911948,16.673333983046362,10.668076381684251,16.811262147586326,31.74227835857206,2.860643209273824,20.629405209808205,69.34118602259309,15.048178913332531,28.73673242836328,10.725182650235858,33.13679373398676,2.6860720249709997,9.377776251473197,5.837202755014317,5.149839134859527,12.538353024871196,11.529319980847058,3.5736681859825294,6.941963881494384,26.03955203594816,24.0,82.3,3.2,1.4,2.1,1.4,1.1,9.2,3598102700000.0
Colorado,11.60979277775264,22.26784931493415,19.36220850096584,24.699499627413232,52.456790051873085,6.1012912097223895,10.168817369511615,83.3987957816743,4.474762274845671,65.81679697883834,82.54053367226025,70.45093747166456,5.043302875447624,49.61119312244916,40.75159778729399,13.336958043684616,65.69852735746942,21.49479035778825,7.376602308059315,12.984747290508766,28.10295669235861,2.6153821298405093,16.92010586935565,67.80445925538737,14.798698191642254,25.710639756685616,9.831687184030333,28.232992106597493,2.4237406507045938,9.236681223158223,5.403961102320018,3.9064738391784406,11.318363357351746,9.350249592700981,2.856891461543213,5.9717096441903905,23.168381655482758,32.5,75.7,3.6,2.0,2.6,2.3,1.2,11.7,484371500000.0
Connecticut,8.081820458581477,21.182967342162755,16.12308130941977,27.601683604684602,58.5961586389161,6.095224452427711,10.83862799974595,86.28185401751776,4.711148611450476,74.26644938411032,87.84728872916193,76.3617279191213,5.034238934634126,50.577954829671754,43.775467086310535,13.24713466313623,70.57492567804998,20.485473612275577,8.700969354034852,12.197833618122047,29.95812321787488,2.6070000335589363,21.81508207933388,77.85663852615808,14.505346049489168,29.918316578364138,9.247412009717115,34.10019489144239,2.534183271175342,8.160422698376994,5.494016219782743,4.019626153449762,10.995485740641564,9.917178542138792,2.961330509205549,6.224384200452796,23.16997437594939,24.5,76.1,4.0,1.8,1.4,1.5,1.0,9.7,321844600000.0
Delaware,9.827573889956387,22.317041332132064,15.449247147652345,31.512724141505146,60.944992146575984,6.078404479242244,10.204954434194685,82.11084340591438,5.144176108050358,73.90102393500395,86.47438458257258,72.87417479250217,5.689675338653994,44.06388710603318,38.2597524975483,14.866847986413976,62.21482832096187,18.054292872918047,10.117159831131453,14.2466144566786,31.492360452229654,2.836705588289229,25.81866364223468,75.10784744424866,14.870129581496219,35.9283140851359,10.244733721087838,34.177432966840215,2.873411176578459,10.405939500729533,5.587198121556653,4.389844366663211,12.084085554483627,11.953527363402246,3.3778079977356623,6.9189104071820955,25.923060463391884,20.1,78.3,3.7,2.1,1.5,2.7,1.1,11.1,87524800000.0
Georgia,15.917431663457586,23.56941820625014,15.183027706854148,35.65699699413847,62.45288201396241,5.86103428600742,10.01970243063471,82.82855350853914,5.397519826259685,75.93059212749846,85.89977959299476,69.99094990483876,6.025696532619922,46.18717120669479,38.97218810459605,15.945077079949325,58.46771953613692,19.534211874810527,11.552443570417553,17.219378232421565,32.67617633893806,3.1280021715687467,25.152952063073645,73.91752467645459,15.916140593057166,34.86609534123871,11.43298896455654,37.07844055955582,3.1944488139615976,13.676430386184034,5.686134896531953,5.500524382183507,13.986326469045144,13.718435314900614,3.9477202787593506,8.081193216468144,29.148327821692096,20.2,82.5,4.2,2.6,2.3,2.1,1.5,12.7,755697900000.0
Hawaii,5.884432136730318,17.7817665392809,18.651304946817774,25.837970161346824,56.479426840358975,5.212355216908431,8.771137655015112,79.65509315300929,4.144860508077053,70.30999297285636,78.97296443488376,71.52015784365888,3.916426243086449,35.41454833779958,34.230906113060016,11.818516696923387,71.90719224336532,13.170390335977935,8.940774636797954,13.236649918525368,28.640684317538103,2.6446555208167855,19.868997810000742,76.92341204242923,13.393811812677024,25.1602398940587,8.303107343261052,40.809889889584355,2.5638435770311605,6.098385560572521,5.607955586787305,4.025927038409272,9.987507015003956,9.00484921470109,2.786395436033222,5.4814139334453875,22.280322263558812,24.4,97.5,5.2,2.0,2.1,1.6,1.1,12.0,98218800000.0
